Grado;Curso;Asignatura;Profesor;Cuatrimestre;Rama;Tarde;Duracion;Dias a la Semana;Preferencia Hora;Preferencia Dia;Coincidir
Ingenieria Electronica;1;Algebra GA1;Antonio Vera;1 y 2;No;No;1;1;1 2 3 4;1 2 3;Calculo GA2
Ingenieria Electronica;1;Algebra GA2;Antonio Vera;1 y 2;No;No;1;1;1 2 3 4;1 2 3;Calculo GA1
Ingenieria Electronica;1;Calculo;Antonio Vera;1 y 2;No;No;1;3;3;5;No
Ingenieria Electronica;1;Calculo GA1;Abdel Mallik;1 y 2;No;No;1;1;2;2;Algebra GA2
Ingenieria Electronica;1;Calculo GA2;Abdel Mallik;1 y 2;No;No;1;1;2;2;Algebra GA1
Ingenieria Electronica;1;Quimica I;Jorge Lago;1;No;No;1;4;2;2;No
Ingenieria Electronica;1;Introduccion a la computacion;Maria Amparo Varona ;1;No;No;1;4;1;1 2 3 4;No
Ingenieria Electronica;1;Fundamentos de Programacion;Luis Javier Rodriguez;2;No;No;1;4;1 4;3;No
Ingenieria Electronica;1;Tecnicas Experimentales I;Hegoi Manzano;2;No;Si;4;1;8 9;1;No
Ingenieria Electronica;2;Analisis Vectorial y Complejo;Javier Canto;1 y 2 ;No;Si;1;4;7;2;No
Ingenieria Electronica;2;Mecanica y Ondas;Josu Ortega ;1 y 2;No;Si;1;4;9;1 2 3 4;No
Ingenieria Electronica;2;Metodos Matematicos;Ivan Esteban;1 y 2;No;Si;1;3;7 8 10;2 3 4 5;No
Ingenieria Electronica;2;Metodos Matematicos GA1;Mariam Bouhmadi;1 y 2;No;Si;1;1;8;2 3 4 5;No
Ingenieria Electronica;2;Metodos Matematicos GA2;Mariam Bouhmadi;1 y 2;No;Si;1;1;8;2 3 4 5;No
Ingenieria Electronica;2;Electromagnetimo I;Aritz Leonardo;1;No;Si;1;4;7 8 10;2;No
Ingenieria Electronica;2;Electronica;Javier Echanove;1;No;Si;1;4;7 9;3;No
Ingenieria Electronica;2;Fisica Moderna;I¤igo Gonzalez;2;No;Si;1;4;10;0;No
Ingenieria Electronica;2;Tecnicas Experimentales II;Hegoi Manzano;2;No;No;4;1;0;5;No
Ingenieria Electronica;3;Dispositivos Electronicos y Optoelectronicos;Maria Victoria Martinez;1;No;No;1;4;2 4;2 4 5;No
